id,date,description,min_qual,pref_qual,functions,responsibilities
41,4/1/2015,"The Dartmouth College Library seeks an innovative, proactive, and collaborative professional to join its active scholarly communication program. The successful candidate will have a strong commitment to supporting and promoting new models of dissemination of the results of research, scholarship, teaching and learning. ","Knowledge of scholarly publishing trends and tools, knowledge and demonstrated skills in navigating complex databases of bibliographic information and bringing that information into new systems, and familiarity with open access, open education, and open data, including related copyright issues. Ability to prioritize work and meet multiple deadlines as well as excellent analytical, organizational, and communication skills. Ability to work independently and in a cross campus collaborative environment.",,,"Reporting to the Scholarly Communication, Copyright and Publishing Program Director, the Digital Scholarship Librarian provides expertise, information management, technical and organizational skills to the realization of the Library's Scholarly Communication Program's strategic goals and initiatives in a highly collaborative environment. The successful candidate will coordinate and implement programs that provide the faculty, students, and staff with current information, education, tools, and resources for the dissemination of the results of research, scholarship, teaching, and learning, and will participate in the planning, development, and management of Dartmouth's scholarly repository and a Digital Scholarship Center."
42,4/24/2015,,"Graduate degree in theology, religious studies, or a related field; Masters in Library and Information Science or related experience; experience with digital humanities projects, including digitization best practices and metadata schemas; excellent oral and written communication skills; strong organizational skills and ability to manage projects; knowledge of the practices of theological education; commitment to public service and the mission of the Candler School of Theology; demonstrated ability to learn new technologies and to work collaboratively with faculty, staff, and students on inter-departmental projects.","Ancient and modern language proficiency; familiarity with United Methodist publications, polity, and history; teaching proficiency; software development experience, including familiarity with development tools such as PHP, Python, MySQL, HTML/CSS, and comfort working from a Unix/Linux shell; involvement in library, scholarly, and/or pastoral associations (e.g., ATLA, ALA, AAR).",,"The successful candidate will be a member of the library's reference staff and have primary responsibility for initiating and implementing digital humanities projects, based on the library's collections and in support of the research of students and faculty. The reference team provides orientation for all new students, works with faculty to develop and deliver library instruction, supplies ongoing research assistance to all patrons, and teaches research courses in the School of Theology. The digital humanities librarian will also be responsible for providing vision and leadership for the library's growing digital efforts, including the library's ongoing digitization of collections, and for defining the role a research library can play in reimagining scholarship in theology and religious studies in the digital age. The successful candidate will play an integral role in shaping the Pitts Theology Library's digital strategy. In all its work the Pitts Theology Library strives to determine innovative and appropriate applications of technology to improve library services, increase access to resources, and foster collaborative research with students and faculty."
43,5/28/2015,"Purdue University Libraries (PUL) seeks a highly motivated, innovative, and learner-centered Digital Humanities (DH) Specialist to join a collaborative, dynamic team who carry out a robust program of integrated information literacy, data services, scholarly communication, and collaborative research, and, as a Libraries faculty member, to contribute to the research and scholarship in those areas.","Master's degree from an ALA-accredited library school or doctoral degree in relevant discipline; demonstrated knowledge of digital research tools and approaches (e.g., text mining, data visualization, and image analysis) and/or related techniques; knowledge of data issues in the research/knowledge creation lifecycle and familiarity with the challenges faced by digital project lifecycle management; demonstrated interest in the applications of current and emerging technologies to meet the changing needs of users; demonstrated commitment to user instruction and to consultation with users on their information needs; strong service orientation; excellent communication and presentation skills; and ability to work well with all levels of users and staff.",Familiarity with the challenges of long-term archiving.,,"The DH Specialist will establish a dynamic multifaceted digital humanities program in the Libraries' Division of Humanities, Social Science, Education and Business (HSSEB) and collaborate with other Purdue faculty to meet the growing demand for digital scholarship at Purdue. Working closely with the Libraries' GIS specialist, archivists, and Research Data unit, the successful candidate will consult and collaborate with faculty and students on techniques and methodologies supporting the digital humanities and provide instruction in their use. The DH Specialist may serve as a subject liaison to at least one humanities discipline."
44,5/28/2015,The University of Miami Libraries seeks nominations and applications for a collaborative and innovative Digital Humanities Librarian.,"* An ALA-accredited MLS or MLIS degree or PhD in relevant subject area or an equivalent combination of education and experience. * Working experience with at least one set of digital humanities research tools and approaches (e.g., text mining, data visualization, image analysis, GIS). * High comfort level with experimentation with digital tools. * Demonstrated ability to collaborate and communicate with a broad range of stakeholders. * Familiarity with research methodologies across a variety of humanities disciplines. * Demonstrated effective oral, written, and interpersonal communication skills. * Demonstrated commitment to user-centered service and the ability to work flexibly and creatively in a changing and fast-paced environment with a culturally diverse population. * Evidence of capacity for professional development, involvement, and contribution.","* Experience in developing and leading new services and programs for multidisciplinary set of stakeholders. * Experience with grant writing and management. * Knowledge of data issues in the research/knowledge creation lifecycle particularly for the humanities. * Demonstrated project management, organizational, analytical, and problem solving skills. * Experience as a liaison to a humanities discipline",,"Reporting to the Associate Dean for Digital Strategies and working within a growing digital strategies team, the Digital Humanities Librarian will develop a set of services to support the evolving digital humanities research and pedagogy on the University of Miami campus. The Digital Humanities Librarian will work with colleagues in the UM Libraries, the Center for the Humanities, the Center for Computational Sciences (CCS), and the nascent digital humanities research program, among others, to identify and foster adoption of digital tools and resources that serve to advance scholarly work and teaching in the humanities and arts. The successful candidate will collaborate with faculty and students on digital humanities research and projects, and will serve as a resource for subject librarians and special collections curators involved with such projects. The successful candidate will serve as a liaison for the Center for the Humanities, and will have a firm grounding in research methodologies in humanities disciplines. Essential Duties and Responsibilities include the following. Performance: * Identify and evaluate current and emerging digital tools and methodologies supporting humanities scholars; * Consult with humanities faculty and students on digital tools and methodologies that support their research and teaching; * Conduct regular environmental scans of the campus in collaboration with subject liaisons and others to identify current and emerging digital scholarly projects and to understand and develop strategies to support faculty needs; * Provide instruction, as needed, on digital tools and methodologies to support digital humanities research and teaching; * Work with the AD for Digital Strategies, campus partners, and others in the Libraries to develop and implement short and long term strategies for program and service development in the digital humanities; * Serve as a strategist and resource person for the Libraries on trends in the digital humanities and arts; * Serve as a liaison to the Center for the Humanities; and * Dependent on background and expertise, act as subject librarian for a humanities discipline. Service: * Network, collaborate, and actively participate in local, regional, national, and/or international organizations regarding digital humanities issues; * Represent and promote the University of Miami Libraries in local, state-wide, regional, national, or international organizations, as appropriate; and * Serve on/participate in Libraries and University organizations, committees, task forces, and teams as appropriate."
45,6/5/2015,"K-State Libraries invite applications and nominations for two Digital Scholarship Librarians. To support the university's goal of becoming a top-50 public research university by 2025, these positions will work collaboratively to grow the center's publishing, copyright, and data services; support the institutional repository, K-State Research Exchange (K-REx), and online publishing imprint, New Prairie Press (NPP); engage campus content providers; and provide education and guidance on digital scholarship. These are forward-thinking, innovative roles for individuals with a desire to excel in a range of cutting-edge digital scholarship initiatives, including building and managing born-digital or digitized content; advocating for open access (OA); and identifying opportunities to support the research and publication lifecycle. We are seeking individuals with knowledge of contemporary digital library standards for all formats. These are full-time tenure track positions, and the candidates must have a commitment to scholarly/creative activities and professional service necessary for pursuing tenure at K-State Libraries. These positions report to the Director of the Center for the Advancement of Digital Scholarship.","* Master of Library Science degree from an American Library Association (ALA) accredited institution at the time of appointment, OR an advanced terminal degree in an appropriate discipline with relevant digital scholarship experience. * Excellent interpersonal, presentation, and communication skills, particularly the ability to explain complex concepts to a wide variety of users in individual and group settings. * Experience with or working knowledge of Excel, XML, and HTML. * Familiarity with current publishing, data, and authors' rights and copyright issues. * Coursework or experience with digital scholarship.","* Experience with an IR, LMS, or CMS (e.g., D-Space, Digital Commons, ePrints). * Familiarity with the curation of various formats (e.g., text, data sets, media, images). * Experience or working knowledge of protocols and standards (e.g., DC, MODS). * Experience managing or developing user interfaces. * Experience with post-completion project review and assessments. * Experience working in an academic library.",,"* Work independently and collaboratively with colleagues to meet current digital scholarship demands and discover future campus needs related to the creation and dissemination of digital scholarship, engaging library staff experts in projects as appropriate. * Initiate, build and nurture excellent relationships with a diverse community within the university, as well as external partners, in support of digital scholarship services. * Develop or propose new workflows and tools to support effective, innovative and sustainable digital scholarship. Upon implementation review and evaluate impact of changes. * Stay abreast of emerging, innovative trends and technologies, standards, publishing models, digital scholarship developments and related legislative initiatives and evaluate their adaptation to improve the local environment. * Through face-to-face and virtual environments, provide outreach, education, workshops, promotion, and consultations to the campus community about copyright/fair use, authors' rights, K-REx, NPP, publishing, OA, and other digital scholarship topics."
46,6/10/2015,,"- Master's degree in library science, or relevant graduate degree in a related field - Experience working in an academic library setting - Demonstrated experience in the use and application of one or more of the following digital research tools and approa",#NAME?,,"The DSLL develops digital scholarship services, partnerships, programming, and project plans; facilitates the use of library content for digital scholarship creation by faculty and students; and serves as a liaison to one or more academic departments. This is an academic professional position with faculty status. Specific Duties and Responsibilities: - As a liaison librarian, builds relationships with classroom faculty in assigned academic units and works to integrate library resources and services into appropriate courses - Investigates and evaluates emerging tools and technologies related to digital scholarship (DS) - Plans and implements new services to support digitally-enriched scholarship across the university based on current standards, best practices, and user needs - Assists researchers in planning effective, innovative, and sustainable digital projects - Partners with faculty to develop strategies to integrate DS into the curriculum - Provides expert consultation, support, and training on DS tools and techniques - Promote the use of library resources as the basis of DS - Serve as a resource for other liaisons, including providing training on DS tools and methodologies - Employs effective review and evaluation of projects upon completion - Participates in professional development activities by attending local and national conferences and meetings and maintaining membership in professional organizations - Participates in library-wide initiatives through committees and task forces - Meets University and Library expectations for service and scholarship, including participation in the academic library community through research, presentations, and writing on topics related to areas of responsibility"
47,6/11/2015,"The Emory Libraries seek an energetic, user-oriented, and collaborative professional to serve as a Humanities Librarian on the Humanities Team with a subject area focus of English Literature. Emory's well-ranked and dynamic English department includes 40 faculty, over 50 graduate students, and more than 150 undergraduate majors. The successful candidate will be highly knowledgeable in the field of English and American Literature, have a passion for the research, teaching and learning mission of the University, and understand the Libraries' role in the advancement of that mission. S/he will possess excellent communication, interpersonal, and team skills. This position offers an opportunity for strategic and interdisciplinary approaches to the selection, teaching, discovery, and delivery of digital and print information resources.","* ALA-accredited master's degree in Library and Information Science or equivalent education and experience (subject expertise). * Advanced degree in English Literature or related discipline. * Demonstrated knowledge and experience with instruction, information literacy, and assessment of library services and resources. * Familiarity with new technologies, such as text-mining, network analysis, data-visualization, and other digital applications relevant to the study of English literature. * Commitment to user-centered library services. * Strong interest in technology and tools for research and teaching * Strong understanding of the key issues and trends in instruction, collection development, research, and reference in the subject area of English. * Knowledge of scholarly communication issues and trends within the literature disciplines. * Evidence of excellent communication, public  speaking, teaching, writing and analytical skills. * Commitment to fostering a diverse educational environment and workplace and an ability to work effectively with a diverse faculty, staff, and student population. * Demonstrated willingness to respond to new opportunities with initiative, creative energy, and leadership. * Evidence of active participation, involvement, and leadership in local, state, regional, national, or international professional or scholarly associations.","* Practical knowledge of ACRL's Framework for Information Literacy for Higher Education. * Experience working with Aleph, ALMA, vendor sites, like YBP's GOBI, libguides, LibAnswers, and other assessment tools. * Background and/or interest in other humanities disciplines, such as comparative literature or classics.",,"Reporting to the Humanities Team Leader, the Humanities Librarian will be involved and engaged in the entire lifecycle of research, teaching and learning processes. S/he will collaborate with and support faculty in course-specific ways, including providing point-of-need instruction sessions and assignments, research guides and/or tutorials. Focused primarily on the English department, the\ librarian will provide a full range of subject specific library services to include collection development, consultation, instruction, reference services, and assessment. The librarian will also work closely with other librarians and units to understand and integrate area research and curricular needs with the Libraries' collections and services. Partnering with fellow subject librarians, other Library & Information Technology Services (LITS) units, and campus organizations, the Humanities Librarian will work to create and sustain strong relationships with the Manuscript, Archives, & Rare Book Library (MARBL), Emory's Center for Digital Scholarship (ECDS), and Academic Technology Services to engage in evolving campus digital scholarship initiatives. Finally, s/he also will work the reference desk an average of 3 hours a week. Specific duties include: * Serves as primary liaison to and actively develops professional relationships with faculty, students and staff in assigned subject area. May include other areas within the Humanities Team if needed. * Plans and delivers innovative reference and instruction services; teaches research tools and skills relevant to the discipline, develops content for subject-based web pages, and collaborates with faculty to achieve information and digital literacies and archival pedagogy learning outcomes in course-specific ways. * Provides in-depth, specialized consultation in support of the entire research lifecycle; contributes to University efforts to assess and promote institutional scholarship. * Assists faculty engaged in digital scholarship projects and teaching-and-learning-with-technology initiatives; collaborates as needed with ECDS and Academic Technology Services. * Partners with other libraries, especially research services in MARBL, to promote teaching and research with primary evidence materials. * Develops and manages excellent electronic, multimedia, and print collections in English and American literature to support the research and teaching needs of the Emory University community, promotes resources using current tools and technologies, and collaborates with colleagues in related fields to acquire materials, especially the curators in MARBL. * Provides marketing and assessment of library services. * Participates in professional and scholarly associations. * Maintains up-to-date professional knowledge and skills in areas related to primary job assignment as well as maintains general knowledge of current trends in higher education, academic libraries, and information and educational technology. * Adheres to guidelines outlined in the Handbook Governing the Librarian series for Faculty-Equivalent Librarians to ensure appointment, appointment renewal and promotion-in-rank * Participates in library and campus committees as appropriate for service purposes."
48,7/17/2015,"Georgia State University Library seeks an enthusiastic, collegial and service-oriented manager and librarian to lead the newly-created Digital Research Services Team. ","* Demonstrated experience working collaboratively with university faculty, staff, and students; * Experience building relationships across disciplines; * Thorough understanding of current issues, trends, and technologies impacting higher education and academic libraries; * Thorough knowledge of software and research tools used to support quantitative, qualitative, business, and spatial/GIS data services; * Excellent communication, presentation and interpersonal skills; * Minimum 3 years professional experience in an academic library; * Supervisory experience; * ALA-accredited MLS; * Ability to pass a background check","* Supervisory experience in an academic library; * Demonstrated expertise with two or more quantitative, qualitative, business, and/or spatial data software packages; * Experience developing digital projects in collaboration with other faculty; * Additional advanced degree",,"As part of the Research and Engagement Department, the Team Leader leads one of three teams within the department, and is the direct supervisor for 4-6 librarians and/or content specialists, serving as their primary mentor and advocate. The team leader will facilitate librarian support of interdisciplinary data services (involving quantitative, qualitative, business, and spatial/GIS data) and digital scholarship projects in collaboration with faculty, staff, and students from across the university. The Team Leader also serves as the subject librarian for one or more academic departments. Georgia State University librarians hold faculty rank and are expected to engage in service and scholarly activities."
49,7/24/2015,"The University of Georgia Libraries invites applications for the position of Digital Humanities Coordinator. The successful candidate will be responsible to the Deputy University Librarian for helping to administer and coordinate the diverse activities and programs of the Willson Center Digital Humanities Lab (DigiLab) of the University of Georgia in support of faculty and student projects and the undergraduate digital humanities certificate program (DIGI). This is a non-tenured track faculty position. Duties include collaborating with the other departments within the University Libraries, UGA Press, Willson Center for Humanities and Arts, New Georgia Encyclopedia and other project partners, as well as working closely with the DigiLab Steering Committee Chair. Duties associated with coordination of the DIGI program include establishing a relationship with academic departments and support units in the Franklin College of Arts and Sciences and other colleges and units; supporting the work of the DigiLab Steering Committee Chair, and maintaining the DigiLab website and social media presence. The position will also participate in and coordinate training activities in digital humanities for faculty, graduate, and undergraduate students, as well as plan campus activities and events designed to increase interest and involvement in digital humanities across the campus in cooperation with other university units.","Master's degree in a humanities-related field; Post-Baccalaureate training in digital humanities or two years of relevant experience; Experience in digital humanities project management; Working experience with at least one set of digital humanities research tools and approaches (e.g., text mining, data visualization, image analysis, GIS, web applications); Familiarity with research methodologies across a variety of humanities disciplines; Excellent written and oral communication skills; Demonstrated ability to work independently within a framework of assigned responsibilities; Demonstrated ability to collaborate and communicate with a broad range of stakeholders; Excellent interpersonal skills and demonstrated ability to work with diverse faculty, students and colleagues.","Knowledge of relevant programming languages; Experience working in interdisciplinary, collaborative teams is highly desirable; Experience writing grants.",,"*Provides coordination, advising, and instruction as needed for the DIGI undergraduate certificate program. *Facilitates operation of the DigiLab Advisory Committee and local DigiLab Steering Committee. *Solicits guidance/feedback from DigiLab Advisory Committee members, external advisors, and other authorities identified via site visits and other means for the purposes of assessment and strategic planning. *Organizes interdisciplinary dialog among UGA and other faculty to establish the DigiLab as focal point/common ground for the digital humanities activity of UGA. *Coordinates with the University Libraries, UGA Press, Willson Center For Humanities and Arts, New Georgia Encyclopedia and other project partners on operation of the DigiLab at the Main Library. *Consults with humanities faculty and students on digital tools and methodologies to support their research projects and coursework. *Plans digital humanities activities and events across campus. *Communicates and promotes the projects and work supported by the DigiLab. *Stays current with technology, scholarship, and other issues impacting digital humanities. Works with regional, national, and international colleagues and digital humanities labs/centers. *Prepares a white paper studying the University of Georgia digital humanities infrastructure and services and developing recommendations for future management and ongoing evaluation. Maintains flexibility and assumes other similar duties and responsibilities as assigned. *Essential duties of the position."
50,7/30/2015,"The Charles C. Sherrod Library at East Tennessee State University (ETSU) in Johnson City, TN seeks candidates for the position of Digital Scholarship Librarian to collaboratively plan, implement, and assess services supporting scholarly communication at ETSU. The Digital Scholarship Librarian manages the institutional repository (Digital Commons); collaborates with library colleagues to build and promote SelectedWorks websites for faculty; and engages with campus content creators to provide expertise on digital publishing, preservation and access, intellectual property rights, and open access and open scholarship initiatives. This is a full-time, 12-month, tenure-track position with academic rank of Assistant Professor reporting to the Director of Technology and Content Services.","Knowledge, Skills, and Abilities:
- Knowledge of current issues in scholarly communication (i.e. open access, author rights, copyright, fair use, deposit mandates) 
- Knowledge of current metadata schemas and standards 
- Knowledge of repository architecture and data curation issues 
- Ability to interact effectively with diverse faculty, staff, students, and administrators 
- Ability to work both independently and collaboratively as part of a team 
- Excellent planning, project management, and communication skills  


Minimum qualifications include:
- ALA-accredited MLS in library or information science or equivalent
- Strong working knowledge of current issues and trends in intellectual property, copyright and fair use, open access, and author rights
- Coursework or experience with digital collections, institutional repositories, or data management
- Coursework or experience with metadata schema and standards (e.g., Dublin Core, MODS)
- Coursework or experience with curation of various formats (e.g., text, video, audio, still images)
- Working knowledge of Excel, XML, HTML
- Working knowledge of project management and ability to manage multiple projects concurrently
- Strong interpersonal, oral and written communication skills
- Strong analytical skills; ability to analyze, organize, and present data effectively


Preferred qualifications:
- Experience working with an institutional repository, Digital Commons preferred 
- Experience working in an academic library 
- Coursework or experience with copyright and fair use or intellectual property rights 
- Supervisory experience",,"Digital Collections,Digital Scholarship,Education,Metadata,Outreach/Advocacy","Essential Functions: 
- Supports library outreach efforts to identify, collect, and provide access to university-created digital content supporting research, teaching and learning. 
- Contributes to education and outreach activities related to scholarly communication, copyright and fair use, open access, and author rights. 
- Develops, documents, and communicates policies and procedures governing content acquisition/submission, organization, and description in Digital Commons @ ETSU. 
- Collaborates with campus colleagues to establish infrastructure and services to support scholarly publishing in Digital Commons @ ETSU and manage new forms of digital scholarly content (e.g., learning objects, data sets). 
- Develops metrics, collects and analyzes data. Prepares and presents reports and presentations that document the development and use of Digital Commons @ ETSU and Selected Works. Contributes to reports and presentations about scholarly communication outreach initiatives and outcomes. 
- Monitors national trends, standards, and policies involving scholarly communication. 
- Supervises student workers and graduate assistants. 

As a tenure-track library faculty member, the Digital Scholarship Librarian will be expected to engage in professional development and scholarly activities and provide service to the university, the community, and the profession according to the University and Library policies for tenure and promotion."
51,8/12/2015,,- 1) MA in Digital Humanities OR 2) MLIS from an accredited ALA program or MA in Archival Studies with demonstrated digital/technological training/certification OR 3) MA in a Humanities discipline or related field with demonstrated digital/technological t,#NAME?,,"The Digital Humanities Specialist (DHS) will develop and manage strategies and infrastructure for curating digital humanities content and data and will author and/or co-author new digital humanities resources or scholarship. Reporting to Assoc. Professor (Religious Studies, College of the Pacific) and the Head of Special Collections (Library), the DHS will work in collaborative, digital research initiatives in the NEH-funded project KELLIA (Koptische/Coptic Electronic Language and Literature International Alliance) and in the William Knox Holt Memorial Library. The functions listed are representative of duties typically performed by this position. Staff may perform some but not all and/or may be assigned additional duties. 1. Develops and manages strategies and infrastructure for curating digital humanities content and data. 2. Authors/co-authors new digital humanities resources or scholarship. 3. Provides web development and programming for humanities research. 4. Contributes to original research in digital humanities. 5. Contributes to planning and decision-making about KELLIA's technological development and long-term sustainability. 6. Identifies, recommends, and implements linked open data technologies for humanities research. 7. Identifies, recommends, and implements digital asset management and digital archiving in the Library. 8. Participates in archival processing and reference duties in a special collections environment. 9. Designs forward-facing, interactive digital initiatives, websites, and/or exhibits. 10. Provides library and special collections instruction."
52,9/10/2015,"The University of Alabama seeks a faculty librarian to hold a split appointment (60/40) in the University Libraries and the Department of English to continue our excellent support of digital scholarship at The University of Alabama.  In addition to conducting his or her own research and teaching in the Department of English, the successful candidate will serve as an ambassador within the University of Alabama faculty to promote the resources and community of the Alabama Digital Humanities Center (ADHC).",,,,"The successful candidate will devote 60% time to outreach activities promoting the digital humanities and the mission of the ADHC and 40% time to conducting his or her own research and teaching in the Department of English, likely one course per semester, including: * Teach at the graduate and undergraduate levels within the candidate's academic specialty and in keeping with departmental needs. * Conduct appropriate scholarly research within the candidate's academic specialty. * Work closely with the Libraries faculty and staff in organizing and leading lunch discussions, training workshops, and other public events related to the digital humanities. As the ADHC operates in a team atmosphere, the successful candidate will be expected to take an active role in the established community to help the ADHC maintain a responsive environment and to assess its impact. * Provide consultations by appointment to work with faculty and students on digital humanities projects. * Coordinate the ADHC speaker series. * Promote the work of the ADHC, including communications about ADHC events and projects, publishing web site content, and engaging with the ADHC community through social media. * Offer relevant workshops throughout the academic year. * Guide the planning and execution of events such as THATCamp Alabama and the Digitorium. * Supervise one technical specialist. The position will report to the Associate Dean for Branch Libraries and Digital Student Services to whom the digital humanities center reports in the Libraries. The tenure home for this position is the University Libraries and progress toward promotion and tenure will be governed by the University of Alabama Faculty Handbook and Supplemental Criteria and Standards for Promotion and Tenure for University Libraries Faculty. Evaluative feedback with regard to teaching and research in the Department of English will be provided to the University Libraries by the English department chair."
53,9/12/2015,,"ALA accredited MLS or equivalent experience in one or more fields relevant to library services in data curation. Significant relevant experience working with digital humanities projects. Demonstrated knowledge of issues and technical challenges related to data curation, including format migration, preservation, metadata, data access (including open access). Working Knowledge or advanced training with XML metadata. 必nowledge of metadata standards, such as TEI and EAD, and data management practices in humanities. Familiarity with common content-management-system platforms used by humanities data creators such as WordPress and Omeka. An understanding of the humanities research process as demonstrated by academic or work experience. Ability to work independently and collaboratively, prioritizing work to ensure that departmental and library goals are realized. Excellent organizational skills, proven problem solving ability, and flexibility. Demonstrated initiative in fostering new ideas and in implementing change. Excellent oral, written, and interpersonal communication skills.","Advanced degree in humanities or related field. Experience with digital preservation standards and best practices, and digital rights management. Experience with scholarly repository platforms and relevant data manipulation tools. Prior experience in data visualization and/or data-mining. Working knowledge in intellectual property issues (including Creative Commons licensing). Working knowledge of Linked Data principles and scripting languages, such as Perl, PHP, and XSLT, and APIs.",,"Reporting to the Head of Cataloging & Metadata Services (CMS), the Humanities Data Curator has primary responsibility for the planning, implementation, and ongoing production of digital collections and scholarly initiatives in support of digital humanities scholarship and artistic production on campus to ensure their high functionality and discoverability through the flow and lifecycle of digital research data. As part of an evolving team of Data Curators, the candidate will be expected to make substantial contributions to his/her primary area of responsibility as well as to collaborate with other members of this team. The Humanities Data Curator is responsible for collecting, managing, curating, preserving, and providing access to digital humanities datasets and other digital collections in the Library. The candidate actively manages data produced by humanities scholars on campus, as well as data acquired by the Library, and ensures ongoing sustainable preservation and access through metadata creation and data discovery tools development. The candidate participates in the development, evaluation, education, and implementation of metadata policies, standards, goals, procedures, and workflows in cooperation with engaged campus stakeholders. The Humanities Data Curator will create and implement the Library's support plan for digital humanities researchers and provide research data consultation to campus data creators. S/he will understand the ways in which humanities scholars conduct research in this new era of data sharing, including using new computational methods of analysis (for example, text-mining, topic modeling, social network analysis, or mapping and visualization). In collaboration with humanities subject librarians and other data curators in the library, the Humanities Data Curator will provide leadership to define the library's strategy as it transforms research data services. S/he will engage relevant faculty and researchers and will collaboratively provide services that are scalable to each data set, promote the Library's digital humanities research data services, and educate data users and producers of datasets on campus. The Humanities Data Curator will contribute to local, regional, and national digital humanities discussions and initiatives."
54,9/24/2015,The Grinnell College Libraries invite applications for a renewable non-tenure-track appointment. Start date is flexible.  Assistant Professor or Associate Professor possible. We seek a creative and collaborative Humanities and Digital Scholarship Librarian who is passionate about fostering undergraduate learning. ,,,,"The Humanities and Digital Scholarship Librarian will serve as academic liaison for Chinese and Japanese, Classics, German, Music, Russian, and Theatre and Dance, providing faculty contact, reference consultation with students and faculty, research literacy teaching, and collection development.  In addition, this librarian will be responsible for consulting with faculty, staff, and students from across the College on projects related to digital publishing and digital exhibitions, as well as on emerging forms of digital scholarship. In collaboration with other College staff, the Humanities and Digital Scholarship Librarian will help to ensure that these projects reflect best practices related to long-term digital preservation, accessibility, copyright, open access, and emerging methods of scholarly communication."
55,9/28/2015,"Northeastern University Libraries are pleased to announce a new position as part of our growing research and development activities in the fields of digital humanities and digital libraries. The Library is undertaking an ambitious agenda in support of emerging digital humanities and quantitative social sciences research efforts at Northeastern. With the launch of an enhanced digital repository service and an increasing number of major grant-funded projects, the Library is deeply engaged with the universityÕs research mission.

This position will work as part of a team that includes the staff of the Digital Scholarship Group and Library Technical Services, to develop and expand support for digital scholarship, digital repository services, discovery tools, and related critical library services. We are looking for technically confident, fast learners who are equally comfortable with collaborative development, thoughtful experimentation, and critical system support. Team members have opportunities to participate in grant-funded research, collaborate on cutting-edge digital scholarship projects, and lead the development of new tools and systems. If you are interested in exploring new ways that technology can support research in the humanities and social sciences, we would like very much to hear from you.","Qualifications


* Bachelor's degree in Computer Science, Information Systems or a related field (or equivalent experience).
* Excellent knowledge of web development using Ruby on Rails required.
* Significant experience with Hydra and Fedora, including customization of Hydra gems preferred.
* Significant experience with front-end development -- tools, techniques and workflow automation (using CSS and preprocessors, XHTML, JavaScript/JQuery, git/github, bootstrap responsive design framework, etc.).
* Knowledge of current web development standards and cross platform compatibility and accessibility techniques.
* Experience with Open Source software.
* Ability to work in an API environment and experience with SOAP and/or REST desirable.
* Excellent oral and written skills to communicate with technical and non-technical individuals and prepare project documentation to support training and best practices encoding guidelines
* Strong interpersonal skill; ability to work successfully in a collaborative environment.
* Ability to take initiative and meet deadlines.
* Experience with IT in a library or higher education setting desirable.","Computer Programming,Database Design/Development,Digital Collections",,"The Programmer/Analyst designs applications that interact with core components of the LibraryÕs digital repository service (Hydra) and programs in such languages as Ruby, PHP, CSS, and JavaScript. Reporting to the Director of the Digital Scholarship Group, the Programmer/Analyst works collaboratively with colleagues in the Library and across campus, and participates in an ongoing evaluation of emerging academic and library technologies. The position works closely with the library and faculty colleagues to develop a sustainable software ecology that can be applied to range of scholarly projects in the humanities, social sciences, and related disciplines.

Please note: This is a two-year pilot position with opportunity for extension."
56,10/12/2015,"The University of Delaware Library seeks a creative, enthusiastic professional for the position of Digital Humanities and Web Services Librarian. Reporting to the Head, Library Server and Data Management Department in the Library Technologies and Digital Initiatives Division, the position works closely with colleagues throughout the library in three areas of primary responsibility:"," ALA accredited graduate library degree. Demonstrated experience in web design and content creation.  Demonstrated experience working effectively with HTML, CSS, and Wordpress.  Familiarity with Javascript, PHP, XSLT and XML.  Familiarity with emerging trends in digital humanities and data mining.  Ability to write concisely and effectively for the web. Excellent interpersonal skills. Ability to communicate technical information to users with various levels of technology experience.  Ability to work collaboratively with people of diverse backgrounds.  Ability to manage multiple priorities in fast-paced, rapidly changing technical environment.  Demonstrated aptitude for detail oriented work including strong analytic and problem solving skills.  Excellent organization, planning, and decision-making skills. ",,,"Facilitate and provide support to University of Delaware digital humanities initiatives. Work collaboratively with library colleagues and campus faculty in creating scholarly projects in the humanities. Provide guidance to and maintain a working knowledge of available library and campus resources. Evaluate existing tools and technologies and investigate emerging technologies for potential uses in humanities research. Provide training and group instruction and partner with other library colleagues in outreach. Coordinate the University of Delaware Library web environment, which provides worldwide access to collections, services and resources. Create new original content. Maintain and enhance existing web content and delivery. Assess and monitor the functionality of Library web content delivery, as well as the visual display of content. Ensure user accessibility. Assist library staff in the development and implementation of new web content and services. Create documentation, compile user statistics and analysis reports. Facilitate communication regarding web trends and new resources. Collaborate with library colleagues to plan and manage web projects to increase electronic access to Library content and collections, particularly unique and scholarly materials from the Library's digital collections. Participate in the design, implementation, and enhancement of content delivery systems such as REST (Representational State Transfer), Omeka and XTF (eXtensible Text Framework). Collaborate with other colleagues on open web resources, digital asset management, and content sharing initiatives, such as the GLAM (Galleries, Libraries, Archives, and Museums) Wikiproject."
